TVD	North	East	Dia	Color	Style
1827.5	-1370.0	-1570.9	1.5	2.0	0
1833.3	-1383.5	-1597.1	1.5	2.0	0
1838.9	-1395.7	-1623.9	1.5	2.0	0
1844.3	-1406.9	-1651.2	1.5	2.0	0
1849.6	-1416.8	-1679.0	1.5	2.0	0
1854.8	-1425.5	-1707.2	1.5	2.0	0
1859.7	-1432.9	-1735.9	1.5	2.0	0
1864.5	-1439.1	-1764.9	1.5	2.0	0
1869.1	-1444.1	-1794.1	1.5	2.0	0
1873.5	-1447.7	-1823.5	1.5	2.0	0
1877.7	-1450.1	-1853.1	1.5	2.0	0
1881.7	-1451.2	-1882.8	1.5	2.0	0
1885.4	-1451.0	-1912.6	1.5	2.0	0
1888.9	-1449.5	-1942.4	1.5	2.0	0
1892.2	-1446.7	-1972.1	1.5	2.0	0
1895.2	-1442.7	-2001.6	1.5	2.0	0
1898.0	-1437.4	-2031.0	1.5	2.0	0
1900.5	-1430.8	-2060.2	1.5	2.0	0
1902.7	-1423.0	-2089.0	1.5	2.0	0
1904.7	-1413.9	-2117.6	1.5	2.0	0
1906.4	-1403.6	-2145.7	1.5	2.0	0
1906.7	-1401.4	-2151.2	1.5	2.0	0
1908.0	-1392.5	-2173.5	1.5	2.0	0
1909.5	-1381.4	-2201.3	1.5	2.0	0
1911.0	-1370.2	-2229.2	1.5	2.0	0
1912.5	-1359.1	-2257.0	1.5	2.0	0
1914.1	-1348.0	-2284.8	1.5	2.0	0
1915.6	-1336.9	-2312.6	1.5	2.0	0
1917.1	-1325.7	-2340.4	1.5	2.0	0
1918.7	-1314.6	-2368.2	1.5	2.0	0
1920.2	-1303.5	-2396.1	1.5	2.0	0
1921.7	-1292.4	-2423.9	1.2	3.0	1
1923.2	-1281.2	-2451.7	1.2	3.0	1
1924.8	-1270.1	-2479.5	1.2	3.0	1
1926.3	-1259.0	-2507.3	1.2	3.0	1
1927.8	-1247.9	-2535.2	1.2	3.0	1
1929.4	-1236.7	-2563.0	1.2	3.0	1
1930.9	-1225.6	-2590.8	1.2	3.0	1
1932.4	-1214.5	-2618.6	1.2	3.0	1
1932.6	-1213.2	-2621.9	1.2	3.0	1
1933.9	-1203.4	-2646.4	1.2	3.0	1
1935.5	-1192.2	-2674.3	1.2	3.0	1
1937.0	-1181.1	-2702.1	1.2	3.0	1
1938.5	-1170.0	-2729.9	1.2	3.0	1
1940.1	-1158.9	-2757.7	1.2	3.0	1
