TVD	North	East	Dia	Color
1998.36	-899.404	-3290.499	1.2	3
2008.114	-881.055	-3312.109	1.2	3
2009.638	-878.373	-3315.188	1.2	3
2011.009	-875.965	-3317.931	1.2	3
2018.66	-862.523	-3333.201	1.2	3
2029.236	-843.991	-3354.263	1.2	3
2039.844	-825.429	-3375.355	1.2	3
2050.42	-806.897	-3396.417	1.2	3
2060.997	-788.335	-3417.509	1.2	3
2071.573	-769.803	-3438.571	1.2	3
2082.15	-751.241	-3459.632	1.2	3
2092.726	-732.709	-3480.725	1.2	3
2103.303	-714.146	-3501.786	1.2	3
2113.879	-695.615	-3522.878	1.2	3
2120.006	-684.916	-3535.04	1.2	3
2124.456	-677.052	-3543.94	1.2	3
2135.033	-658.52	-3565.002	1.2	3
2145.64	-639.958	-3586.094	1.2	3
2156.216	-621.426	-3607.156	1.2	3
2166.793	-602.864	-3628.248	1.2	3
2177.369	-584.332	-3649.309	1.2	3
2178.375	-582.595	-3651.291	1.2	3
2187.976	-565.313	-3669.944	1.2	3
2198.583	-545.196	-3689.482	1.2	3
2204.192	-534.101	-3699.358	1.2	3
2209.19	-524.104	-3708.014	1.2	3
2219.797	-502.859	-3726.363	1.2	3
2230.404	-481.645	-3744.712	1.2	3
2241.012	-460.431	-3763.061	1.2	3
2251.619	-439.186	-3781.41	1.2	3
2252.198	-438.059	-3782.385	1.2	3
